code,country,sample,imputed,logyl,logkl,alogky,school,loghl,loga,logl,mining,ecorg,socinf,yrsopen,gadp,engfrac,eurfrac,log_frankrom,latitude
TUN,Tunisia,1,0,8.94842,9.28947,0.17052,2.48,0.33232,8.44558,14.73482,0.079,4,0.33733,0.133,0.541,0.0,0.006,3.171,36.816
UGA,Uganda,1,0,7.02369,5.89581,-0.56394,1.92,0.25728,7.33035,15.78421,0.001,3,0.26178,0.156,0.368,0.0,0.0,2.563,0.228
ZAR,Zaire,1,1,7.05435,6.56787,-0.24324,2.24,0.30016,6.99743,16.40688,0.04,3,0.11267,0.0,0.225,0.0,0.0,2.194,-0.569
ZMB,Zambia,1,0,7.49617,8.77689,0.64036,4.35,0.57135,6.28446,14.73804,0.204,1,0.23422,0.044,0.424,0.0,0.0,2.625,-12.942
ZWE,Zimbabwe,1,0,7.74836,8.43456,0.3431,2.63,0.35242,7.05284,15.22039,0.06,3,0.2725,0.0,0.545,0.074,0.074,2.422,-17.876
BHS,Bahamas,0,0,,,,,,,,,3,,,0.614,0.865,0.865,3.638,24.7
BRB,Barbados,1,1,9.5687,9.836,0.13365,7.48,0.88748,8.54757,11.79144,0.006,5,0.86934,1.0,0.739,1.0,1.0,4.027,13.179
BLZ,Belize,0,0,9.27805,,,,,,10.90522,0.003,5,,,,0.61,0.94,4.471,17.843
CAN,Canada,1,0,10.41442,11.31986,0.45272,10.37,1.10116,8.86054,16.37839,0.034,5,0.96578,0.956,0.976,0.614,0.857,1.603,43.727
CRI,Costa rica,1,1,9.11803,9.72288,0.30243,5.33,0.67033,8.14527,13.80952,0.051,3,0.54611,0.422,0.67,0.016,0.906,3.151,9.941
DMA,Dominica,0,0,,,,,,,,0.007,5,,,,0.286,1.064,4.319,15.433
DOM,Dominican rep.,1,0,8.89758,9.41179,0.2571,4.18,0.55418,8.0863,14.55682,0.024,3,0.25483,0.0,0.51,0.001,0.871,3.108,18.561
SLV,El salvador,1,0,8.62128,8.63361,0.00617,3.57,0.47838,8.13673,14.31394,0.002,3,0.38583,0.4,0.372,0.0,0.923,3.364,13.775
GRD,Grenada,0,0,8.69938,,,,,,10.59015,0.003,3,,,,1.0,1.0,4.398,12.115
GTM,Guatemala,1,0,8.91335,8.95836,0.02251,2.59,0.34706,8.54378,14.72207,0.003,3,0.39678,0.422,0.371,0.0,0.588,3.093,14.622
HTI,Haiti,1,0,7.6063,7.40046,-0.10292,1.62,0.21708,7.49214,14.77962,0.002,3,0.11783,0.0,0.236,0.0,0.075,3.017,18.932
HND,Honduras,1,0,8.43306,8.72822,0.14758,3.56,0.47704,7.80844,14.19677,0.014,3,0.38961,0.356,0.424,0.003,0.845,3.317,14.194
JAM,Jamaica,1,0,8.43284,9.45961,0.51338,4.16,0.55216,7.3673,13.93214,0.089,5,0.48311,0.422,0.544,0.94,0.94,3.1,18.055
MEX,Mexico,1,0,9.63754,10.25586,0.30916,4.42,0.57842,8.74995,17.09804,0.032,3,0.39617,0.2,0.592,0.0,0.88,1.509,16.759
NIC,Nicaragua,1,1,8.40128,9.07821,0.33847,3.78,0.50652,7.5563,13.88722,0.041,3,0.42833,0.333,0.523,0.009,0.655,3.155,12.211
PAN,Panama,1,1,8.97435,9.89313,0.45939,6.3,0.7683,7.74667,13.62512,0.001,3,0.33445,0.259,0.41,0.14,0.805,3.16,9.206
PRI,Puerto rico,1,1,10.13436,10.65694,0.26129,4.62541,0.59917,9.2739,13.95737,0.001,5,0.55349,0.467,0.64,0.038,1.0,3.125,18.225
KNA,St.kitts&nevis,0,0,,,,,,,,,5,,,,1.0,1.0,,17.327
LCA,St.lucia,0,0,,,,,,,,,5,,,,0.167,0.834,4.232,13.898
VCT,St.vincent&gre,0,0,,,,,,,,,5,,,,1.0,1.0,4.375,13.254
TTO,Trinidad&tobago,1,0,9.77864,10.59043,0.40589,6.5,0.7885,8.58425,13.05174,0.157,3,0.30783,0.0,0.616,0.929,0.965,3.412,10.418
USA,U.S.A.,1,0,10.47556,11.37745,0.45094,11.79,1.19772,8.8269,18.6104,0.018,5,0.97333,1.0,0.947,0.886,0.972,0.94,34.36
ARG,Argentina,1,0,9.6027,10.40884,0.40307,6.68,0.80668,8.39295,16.22535,0.023,5,0.33411,0.089,0.579,0.0,0.836,1.723,-36.676
BOL,Bolivia,1,0,8.50765,9.11343,0.30289,4.28,0.56428,7.64048,14.57215,0.075,3,0.55733,0.733,0.381,0.0,0.372,2.087,-15.19
BRA,Brazil,1,0,9.33229,9.96301,0.31536,3.49,0.46766,8.54926,17.77886,0.017,3,0.38528,0.089,0.682,0.0,0.998,1.109,-19.557
CHL,Chile,1,0,9.14025,10.01913,0.43944,6.45,0.78345,7.91736,15.34372,0.155,5,0.53428,0.422,0.646,0.0,0.931,1.981,-33.554
