"date","logcpi","logip","ff","gs1","gs2","cm5yr","cm10yr","cm5f5","ebp","mortg_spread_m","cp3m_spread_m","ff_exp1yr"
1995-02-01,501.6617,426.3228,5.92,6.7,7.11,7.3657895,7.4694737,7.573158,-0.327196,1.36,0.2650003,6.377916
1995-03-01,501.8604,426.4824,5.98,6.43,6.78,7.0473913,7.2047826,7.362174,-0.329607,1.26,0.3050002,6.348687
1995-04-01,502.2564,426.4395,6.05,6.27,6.57,6.86,7.0626316,7.265263,-0.259701,1.26,0.355,6.239611
1995-05-01,502.4538,426.7027,6.01,6,6.17,6.4145455,6.6327273,6.850909,-0.401863,1.33,0.275,6.109767
1995-06-01,502.6508,427.0672,6,5.64,5.72,5.9286364,6.1681818,6.407727,-0.187211,1.4,0.3550004,5.565625
1995-07-01,502.782,426.6815,5.85,5.59,5.78,6.0085,6.278,6.5475,-0.346603,1.33,0.2550001,5.500748
1995-08-01,502.9784,427.9903,5.74,5.75,5.98,6.243913,6.4882609,6.732609,-0.248873,1.37,0.3050002,5.486945
1995-09-01,503.1091,428.3589,5.8,5.62,5.81,6.0015,6.1975,6.3935,-0.207413,1.44,0.3449997,5.538265
1995-10-01,503.3701,428.1811,5.76,5.59,5.7,5.8628571,6.0447619,6.226666,-0.178842,1.44,0.4250001,5.454834
1995-11-01,503.5003,428.4396,5.8,5.43,5.48,5.6942857,5.9304762,6.166667,-0.095936,1.45,0.2649998,5.372
1995-12-01,503.6303,428.8258,5.6,5.31,5.32,5.5135,5.7115,5.9095,-0.087709,1.49,0.3850002,5.17449
1996-01-01,504.1488,428.1644,5.56,5.09,5.11,5.362381,5.652381,5.942381,-0.116741,1.38,0.2850003,5.068458
1996-02-01,504.3425,429.747,5.22,4.94,5.03,5.3795,5.8055,6.2315,-0.330019,1.27,0.2050003,4.919714
1996-03-01,504.6646,429.5916,5.31,5.34,5.66,5.9661905,6.2685714,6.570952,-0.340443,1.35,0.2350001,5.028598
1996-04-01,505.0497,430.4256,5.22,5.54,5.96,6.3009091,6.5113636,6.721818,-0.294273,1.42,0.3250002,5.164944
1996-05-01,505.2417,431.1198,5.24,5.64,6.1,6.4831818,6.7368182,6.990455,-0.327362,1.33,0.2550001,5.220153
1996-06-01,505.4333,432.0053,5.27,5.81,6.3,6.6895,6.912,7.1345,-0.303977,1.41,0.2849998,5.412755
1996-07-01,505.6246,431.873,5.4,5.85,6.27,6.6359091,6.8654545,7.095,-0.373247,1.38,0.2650003,5.521122
1996-08-01,505.7519,432.5219,5.22,5.67,6.03,6.3890909,6.6354545,6.881818,-0.436534,1.36,0.2550001,5.441871
1996-09-01,506.0695,433.0516,5.3,5.83,6.23,6.597,6.832,7.067,-0.424425,1.4,0.315,5.474713
1996-10-01,506.386,433.0558,5.24,5.55,5.91,6.2704545,6.5336364,6.796818,-0.381406,1.39,0.3250002,5.39557
1996-11-01,506.7016,433.8742,5.31,5.42,5.7,5.9731579,6.2036842,6.434211,-0.349662,1.42,0.2649998,5.286143
1996-12-01,506.9533,434.5137,5.29,5.47,5.78,6.0680952,6.302381,6.536667,-0.442943,1.3,0.4850006,5.290816
1997-01-01,507.1417,434.627,5.25,5.61,6.01,6.3333333,6.5790476,6.824762,-0.350262,1.24,0.3049998,5.333718
1997-02-01,507.3297,435.8319,5.19,5.53,5.9,6.1989474,6.4194737,6.64,-0.485871,1.23,0.2849999,5.338194
1997-03-01,507.3923,436.5974,5.39,5.8,6.22,6.537,6.6945,6.852,-0.512084,1.21,0.2950002,5.665662
1997-04-01,507.4549,436.6422,5.51,5.99,6.45,6.7590909,6.8854545,7.011818,-0.438469,1.25,0.4400002,5.790185
1997-05-01,507.4549,437.3299,5.5,5.87,6.28,6.567619,6.7109524,6.854286,-0.436481,1.23,0.5399999,5.719468
