code,euro1900,avexpr,logpgp95,cons1,cons90,ex2col,urbz1995,pd1500s,lpd1500s,lpd1000s,sjb1500,baserf
STP,100.0,8.409091,,,,0.0,42.9,,,,,
SUR,1.0,4.681818,8.01,,,1.0,49.1,0.213,-1.5464631,-0.18272163,,
SVK,100.0,,8.852236,,,0.0,58.78,23.1,3.1398327,2.261763,6.5,
SVN,,,9.300181,,,0.0,51.3,4.1,1.4109869,1.9021075,5.0,
SWE,100.0,9.5,9.866304,,,0.0,83.1,48.588505,3.883387,3.19024,6.5,
SWZ,0.0,,8.10772,2.0,1.0,1.0,31.1,0.49138,-0.7105375,,,
SYC,0.0,,,,,0.0,54.4,0.0,,,,
SYR,0.0,5.818182,8.029433,,,0.0,52.2,15.0,2.7080503,2.7080503,12.7,
TCD,0.0,,6.8351846,1.0,1.0,1.0,22.2,1.0,0.0,-0.40546507,,
TGO,0.0,6.909091,7.222566,3.0,1.0,1.0,30.7,4.23,1.442202,0.9902844,,
THA,0.0,7.6363635,8.774931,,,0.0,20.0,3.914737,1.3647481,0.67160094,10.82,
TJK,,,6.8875527,,,0.0,32.2,0.875,-0.13353139,-0.47000363,,
TKM,,,7.6401234,,,0.0,44.88,0.875,-0.13353139,-0.47000363,,
TN,,,,,,,,,,,,
TOG,,,,,,,,,,,,
TON,,,,,,0.0,41.0,,,,,
TTO,40.0,7.4545455,8.76873,7.0,7.0,1.0,71.7,1.46,0.37843648,-0.18272163,,
TUN,3.0,6.4545455,8.482602,1.0,3.0,1.0,61.9,11.703024,2.4598472,2.6829908,12.3,1
TUR,0.0,7.4545455,8.641179,,,0.0,69.2,8.185752,2.102395,2.2497196,11.56,
TWN,0.0,9.227273,,,,0.0,,,,,,
TX,,,,,,,,,,,,
TZA,0.0,6.6363635,6.253829,3.0,3.0,1.0,24.2,1.9805566,0.6833779,-0.09938143,,
UGA,0.0,4.4545455,6.9660244,7.0,3.0,1.0,12.5,7.513148,2.0166545,1.3880459,,
UKR,100.0,,7.8119736,,,0.0,70.2,0.71,-0.34249035,-0.17554459,4.5,
URY,60.000004,7.0,9.031214,1.0,3.0,1.0,90.3,0.0,-2.210722,,0.0,1
USA,87.5,10.0,10.21574,7.0,7.0,1.0,76.1,0.08734464,-2.4378936,-3.1310408,0.0,1
UZB,,,7.8079166,,,0.0,41.1,0.875,-0.13353139,-0.47000363,4.5,
VA,,,,,,,,,,,,
VCT,10.0,,8.318742,,,1.0,48.1,1.46,0.37843648,-0.18272163,,
VEN,20.0,7.1363635,9.071078,1.0,3.0,1.0,85.8,0.44,-0.82098055,-1.0784663,0.0,1
VIR,,,,,,0.0,45.1,1.46,0.37843648,-0.18272163,,
VNM,0.0,6.409091,7.279319,1.0,3.0,1.0,19.4,6.144582,1.8155707,0.89928,7.27,1
VT,,,,,,,,,,,,
VUT,,,8.140316,,,0.0,18.9,,,,,
WBG,,,,,,0.0,,,,,12.7,
WI,,,,,,,,,,,,
WSH,,,,,,0.0,,,,,,
WSM,,,7.8671055,,,0.0,21.0,,,,,
YEM,0.0,6.3636365,6.6463904,,,0.0,33.5,4.69,1.5454326,1.449646,,
YUG,100.0,6.318182,,,,0.0,56.6,22.058823,3.0937126,,5.0,
YUG,100.0,6.318182,,,,0.0,56.6,22.058823,3.0937126,,,
ZAF,22.0,6.8636365,8.885994,3.0,7.0,1.0,49.3,0.4913844,-0.7105286,-1.4036758,,
ZAR,8.0,3.5,6.8669333,1.0,1.0,1.0,28.7,1.5,0.4054651,-0.29035226,,
ZMB,3.0,6.6363635,6.8134446,3.0,1.0,1.0,43.0,0.79,-0.2357223,-0.92381895,,
ZWE,7.2,,,7.0,3.0,,31.8,,,,,
ZWE,7.2,6.0,7.696213,7.0,3.0,1.0,31.8,0.79,-0.2357223,-0.92381895,,
notIndonesia,,,,,,,,,,,,
