"byr","race","interval","year","type","vmn1","vsd1","vnu1","vnms1","vfin1","ctr1","ltax","xltax"
1944,1,71,1979,"TAXAB",13760.28,9530.9,199,3,0.180999994277954,17,0.296000003814697,0.225999996066093
1944,1,72,1979,"TAXAB",12106.25,9026.66,194,3,0.186000004410744,17,0.190999999642372,0.165000006556511
1944,1,73,1979,"TAXAB",11872.52,9187.23,221,6,0.216999992728233,17,0.149000003933907,0.127000004053116
1944,1,1,1980,"TAXAB",13416.33,9835.74,178,4,0.180000007152557,19,0.163000002503395,0.12899999320507
1944,1,2,1980,"TAXAB",14440.54,12122.95,182,5,0.170000001788139,19,0.241999998688698,0.187000006437302
1944,1,3,1980,"TAXAB",14357.08,10159.09,208,1.5,0.211999997496605,19,0.187999993562698,0.153999999165535
1944,1,4,1980,"TAXAB",14070.08,10187.21,206,1.5,0.203999996185303,19,0.180000007152557,0.165000006556511
1944,1,5,1980,"TAXAB",15191.58,10177.3,207,0,0.135000005364418,19,0.212999999523163,0.184000000357628
1944,1,6,1980,"TAXAB",14420.88,9707.68,176,6,0.158999994397163,19,0.187999993562698,0.148000001907349
1944,1,7,1980,"TAXAB",13554.7,10449.24,192,1.5,0.197999998927116,19,0.197999998927116,0.166999995708466
1944,1,8,1980,"TAXAB",13084.71,9952.78,143,5,0.252000004053116,19,0.174999997019768,0.146999999880791
1944,1,9,1980,"TAXAB",14154.63,9794.08,198,4,0.181999996304512,19,0.157000005245209,0.136000007390976
1944,1,10,1980,"TAXAB",12830.96,10209.2,221,8,0.225999996066093,19,0.166999995708466,0.130999997258186
1944,1,11,1980,"TAXAB",14331.66,10754.09,175,5,0.206000000238419,19,0.239999994635582,0.171000003814697
1944,1,12,1980,"TAXAB",12854.42,10161.87,161,7,0.224000006914139,19,0.129999995231628,0.105999998748302
1944,1,13,1980,"TAXAB",14408.09,10659.92,185,8,0.194999992847443,19,0.23199999332428,0.178000003099442
1944,1,14,1980,"TAXAB",13984.98,9825.88,185,5,0.145999997854233,19,0.200000002980232,0.162000000476837
1944,1,15,1980,"TAXAB",13738.47,10402.07,162,4,0.203999996185303,19,0.197999998927116,0.159999996423721
1944,1,16,1980,"TAXAB",14379.6,12945.2,135,6,0.207000002264977,19,0.185000002384186,0.141000002622604
1944,1,17,1980,"TAXAB",14927.43,10170.77,191,4,0.178000003099442,19,0.219999998807907,0.167999997735023
1944,1,18,1980,"TAXAB",14485.3,10224.16,192,3,0.181999996304512,19,0.229000002145767,0.224000006914139
1944,1,19,1980,"TAXAB",13188.75,10425.38,196,1.5,0.203999996185303,19,0.172999992966652,0.14300000667572
1944,1,20,1980,"TAXAB",13743.51,10729.64,179,0,0.211999997496605,19,0.217999994754791,0.179000005125999
1944,1,21,1980,"TAXAB",14203.56,10383.41,216,5,0.199000000953674,19,0.24099999666214,0.185000002384186
1944,1,22,1980,"TAXAB",12958.73,10177.11,202,3,0.223000004887581,19,0.187999993562698,0.152999997138977
1944,1,23,1980,"TAXAB",13458.52,11122.21,191,4,0.187999993562698,19,0.172999992966652,0.136000007390976
1944,1,24,1980,"TAXAB",14289.88,10093.6,177,8,0.152999997138977,19,0.202999994158745,0.168999999761581
1944,1,25,1980,"TAXAB",14602.09,10713.45,161,1.5,0.199000000953674,19,0.230000004172325,0.186000004410744
1944,1,26,1980,"TAXAB",13132.58,9519.45,182,7,0.187000006437302,19,0.14300000667572,0.120999999344349
1944,1,27,1980,"TAXAB",14187.76,10226.15,148,5,0.188999995589256,19,0.236000001430511,0.195999994874001
1944,1,28,1980,"TAXAB",14492.66,10245.9,184,7,0.163000002503395,19,0.216999992728233,0.17399999499321
1944,1,29,1980,"TAXAB",13983.63,10488.57,197,7,0.197999998927116,19,0.208000004291534,0.162000000476837
1944,1,30,1980,"TAXAB",13521.96,11048.47,169,5,0.248999997973442,19,0.18299999833107,0.136000007390976
1944,1,31,1980,"TAXAB",13638.56,10664.2,187,1.5,0.214000001549721,19,0.187000006437302,0.155000001192093
1944,1,32,1980,"TAXAB",15091.09,10534.71,207,4,0.179000005125999,19,0.212999999523163,0.164000004529953
1944,1,33,1980,"TAXAB",14584.55,10094.9,162,1.5,0.148000001907349,19,0.24099999666214,0.197999998927116
1944,1,34,1980,"TAXAB",14228.37,10634.16,216,0,0.185000002384186,19,0.194000005722046,0.13400000333786
1944,1,35,1980,"TAXAB",14400.14,10133.41,190,3,0.210999995470047,19,0.179000005125999,0.131999999284744
1944,1,36,1980,"TAXAB",13903.39,9912.43,171,4,0.164000004529953,19,0.180999994277954,0.145999997854233
1944,1,37,1980,"TAXAB",14189.67,10293.16,169,3,0.178000003099442,19,0.20100000500679,0.136000007390976
1944,1,38,1980,"TAXAB",14603.26,10105.83,167,6,0.19200000166893,19,0.222000002861023,0.197999998927116
1944,1,39,1980,"TAXAB",13501.74,10772.62,162,4,0.246999993920326,19,0.190999999642372,0.153999999165535
1944,1,40,1980,"TAXAB",14164.12,10439.9,169,6,0.188999995589256,19,0.212999999523163,0.159999996423721
1944,1,41,1980,"TAXAB",16060.23,10273.14,190,4,0.131999999284744,19,0.246999993920326,0.179000005125999
1944,1,42,1980,"TAXAB",14032.59,10617.4,186,6,0.172000005841255,19,0.219999998807907,0.187999993562698
1944,1,43,1980,"TAXAB",14370.93,10590.24,180,1.5,0.172000005841255,19,0.25,0.228000000119209
1944,1,44,1980,"TAXAB",12701.11,9862.62,171,3,0.222000002861023,19,0.0989999994635582,0.0759999975562096
1944,1,45,1980,"TAXAB",14736.62,10093.78,209,7,0.166999995708466,19,0.215000003576279,0.190999999642372
1944,1,46,1980,"TAXAB",13841.14,10921.09,188,3,0.229000002145767,19,0.212999999523163,0.165000006556511
1944,1,47,1980,"TAXAB",11870.32,10143.27,174,3,0.263999998569489,19,0.160999998450279,0.131999999284744
1944,1,48,1980,"TAXAB",13989.66,9999.79,192,3,0.181999996304512,19,0.160999998450279,0.129999995231628
1944,1,49,1980,"TAXAB",14165.54,10014.13,162,4,0.190999999642372,19,0.209999993443489,0.185000002384186
1944,1,50,1980,"TAXAB",13834.69,10967.91,172,4,0.215000003576279,19,0.17399999499321,0.128000006079674
1944,1,51,1980,"TAXAB",13023.13,10573.62,164,10,0.25,19,0.158999994397163,0.128000006079674
1944,1,52,1980,"TAXAB",13527.17,10520.2,172,5,0.19200000166893,19,0.197999998927116,0.163000002503395
1944,1,53,1980,"TAXAB",14709.68,10017.37,164,4,0.151999995112419,19,0.225999996066093,0.165000006556511
1944,1,54,1980,"TAXAB",13329.24,10283.51,180,5,0.216999992728233,19,0.206000000238419,0.200000002980232
1944,1,55,1980,"TAXAB",13574.88,9946.21,190,7,0.17399999499321,19,0.179000005125999,0.142000004649162
1944,1,56,1980,"TAXAB",14348.43,10634.55,185,1.5,0.204999998211861,19,0.204999998211861,0.172999992966652
1944,1,57,1980,"TAXAB",13200.09,9881.29,163,6,0.232999995350838,19,0.165999993681908,0.146999999880791
1944,1,58,1980,"TAXAB",14342.65,10078.74,173,6,0.190999999642372,19,0.196999996900558,0.162000000476837
1944,1,59,1980,"TAXAB",14924.02,9966.07,189,3,0.174999997019768,19,0.243000000715256,0.195999994874001
1944,1,60,1980,"TAXAB",13746.02,11744.71,170,0,0.224000006914139,19,0.217999994754791,0.175999999046326
1944,1,61,1980,"TAXAB",14006.51,9994.94,206,8,0.209000006318092,19,0.174999997019768,0.150000005960464
1944,1,62,1980,"TAXAB",14525.51,10314.98,199,3,0.20100000500679,19,0.190999999642372,0.165999993681908
1944,1,63,1980,"TAXAB",13262.28,10420.07,224,6,0.228000000119209,19,0.179000005125999,0.137999996542931
1944,1,64,1980,"TAXAB",14142.78,10699.21,172,1.5,0.19200000166893,19,0.19200000166893,0.157000005245209
1944,1,65,1980,"TAXAB",13766.41,10712.08,193,4,0.228000000119209,19,0.228000000119209,0.180999994277954
1944,1,66,1980,"TAXAB",14528.91,10512.93,199,5,0.186000004410744,19,0.221000000834465,0.171000003814697
1944,1,67,1980,"TAXAB",13586.61,10695.09,193,5,0.202000007033348,19,0.187000006437302,0.155000001192093
1944,1,68,1980,"TAXAB",14193.26,10945.27,176,5,0.193000003695488,19,0.158999994397163,0.130999997258186
1944,1,69,1980,"TAXAB",12312.82,10731,176,7,0.266999989748001,19,0.193000003695488,0.165000006556511
1944,1,70,1980,"TAXAB",13218.72,10093.69,176,9,0.193000003695488,19,0.222000002861023,0.199000000953674
1944,1,71,1980,"TAXAB",14862.74,10556.63,199,3,0.175999999046326,19,0.24099999666214,0.186000004410744
1944,1,72,1980,"TAXAB",13351.76,10279.97,193,4,0.217999994754791,19,0.180999994277954,0.155000001192093
1944,1,73,1980,"TAXAB",12857.38,9829.06,221,6,0.216999992728233,19,0.136000007390976,0.108999997377396
1944,1,1,1981,"TAXAB",14804.64,11450.6,178,4,0.196999996900558,21,0.17399999499321,0.135000005364418
1944,1,2,1981,"TAXAB",15720.26,11754.29,182,5,0.180999994277954,21,0.197999998927116,0.170000001788139
1944,1,3,1981,"TAXAB",16386.61,11735.84,207,3,0.222000002861023,21,0.193000003695488,0.158999994397163
1944,1,4,1981,"TAXAB",15546.6,11732.64,205,3,0.224000006914139,21,0.175999999046326,0.160999998450279
1944,1,5,1981,"TAXAB",16613.33,11538.98,206,1.5,0.174999997019768,21,0.223000004887581,0.184000000357628
1944,1,6,1981,"TAXAB",16031.71,11587.99,175,7,0.165999993681908,21,0.171000003814697,0.149000003933907
1944,1,7,1981,"TAXAB",15194.27,12112.63,192,1.5,0.214000001549721,21,0.187999993562698,0.160999998450279
1944,1,8,1981,"TAXAB",13583.28,11060.5,143,5,0.231000006198883,21,0.119000002741814,0.104999996721745
1944,1,9,1981,"TAXAB",15464.45,11019.77,198,4,0.196999996900558,21,0.151999995112419,0.120999999344349
1944,1,10,1981,"TAXAB",14226.32,12015.58,221,8,0.231000006198883,21,0.153999999165535,0.127000004053116
1944,1,11,1981,"TAXAB",15298.22,11862.32,175,5,0.200000002980232,21,0.206000000238419,0.177000001072884
1944,1,12,1981,"TAXAB",13453.92,11495.63,160,8,0.28099998831749,21,0.130999997258186,0.119000002741814
