"date","igrea"
2020-06-01,-29.634987
2020-07-01,5.4357901
2020-08-01,-2.2059945
2020-09-01,-9.4809176
2020-10-01,5.0497845
2020-11-01,-27.380251
2020-12-01,-22.367177
2021-01-01,6.2811411
2021-02-01,-3.9075381
2021-03-01,25.3987
2021-04-01,45.355128
2021-05-01,62.922485
2021-06-01,61.12565
2021-07-01,69.201142
2021-08-01,84.515252
2021-09-01,98.438404
2021-10-01,109.33956
2021-11-01,53.619288
2021-12-01,54.949371
2022-01-01,7.0014604
2022-02-01,10.592483
2022-03-01,39.122184
2022-04-01,28.551446
2022-05-01,55.964652
2022-06-01,34.025921
2022-07-01,20.210815
2022-08-01,-18.278289
2022-09-01,-13.361298
2022-10-01,6.1231622
2022-11-01,-27.366853
2022-12-01,-16.013675
2023-01-01,-63.282719
2023-02-01,-95.773995
2023-03-01,-19.517977
2023-04-01,-14.846431
2023-05-01,-19.263371
2023-06-01,-46.224768
2023-07-01,-50.214331
2023-08-01,-40.477605
2023-09-01,-21.532154
2023-10-01,7.8371266
2023-11-01,5.8547367
2023-12-01,38.4789
2024-01-01,-6.7459599
2024-02-01,19.66905
2024-03-01,25.010324
2024-04-01,-0.50617047
2024-05-01,8.6622468
2024-06-01,10.28384
2024-07-01,10.437247
2024-08-01,-1.0478408
2024-09-01,12.453685
2024-10-01,-4.1132036
2024-11-01,-12.156304
2024-12-01,-46.068832
2025-01-01,-63.027312
2025-02-01,-67.259002
2025-03-01,-13.040825
2025-04-01,-24.72595
2025-05-01,-26.212885
2025-06-01,-3.4819675
2025-07-01,4.0477538
2025-08-01,13.351131
2025-09-01,19.236875
2025-10-01,13.060231
2025-11-01,22.100626
2025-12-01,28.824831
2026-01-01,1.3394484
2026-02-01,15.089143
2026-03-01,14.68627
2026-04-01,31.898428
2026-05-01,53.750324
2026-06-01,44.922417
2026-07-01,44.83344
