"cz","cz_name","state","children_in_1980_82_cohorts","am_80_82_cohort","rm_80_82_cohort","p_child_in_q5_parent_in_q1_80_85_cohort","am_college_attendance","rm_college_attendance","am_teenage_birth","rm_teenage_birth","am_females","rm_females","am_males","rm_males","am_males_individual_income","rm_males_individual_income","am_cost_of_living_adjusted","rm_cost_of_living_adjusted","am_2011_2012_parent_income","rm_2011_2012_parent_income","am_single_parents","rm_single_parents","am_married_parents","rm_married_parents","am_83_85_cohort","rm_83_85_cohort","am_80_85_cohort","rm_80_85_cohort","am_white_80_zips","rm_white_80_zips","am_poverty_line","rm_poverty_line","am_college_quality","rm_college_quality"
25702,"Poplar Bluff","MO",2781,41.07575,0.36023,0.0668257772922516,41.001,0.78044,26.607,-0.35724,41.1325,0.3709,41.01675,0.34951,45.007,0.31264,42.8615,0.34558,40.0555,0.3269,37.9165,0.3081,42.505,0.33272,43.31975,0.33319,42.249,0.34408,41.13925,0.36301,71.074,0.37472,36.95125,0.176795
25800,"Blytheville","AR",4533,37.8365,0.42766,0.0514018684625626,32.706,0.77508,34.48825,-0.37107,38.6795,0.42114,36.989,0.43416,42.27675,0.41975,39.28575,0.41531,36.86225,0.37749,35.2165,0.3819,40.77925,0.37021,39.8565,0.42366,38.85075,0.42407,41.205,0.408,67.60875,0.42979,34.94175,0.170505
25900,"Jonesboro","AR",7231,41.0625,0.3569,0.0810322612524033,36.616,0.77404,26.03775,-0.28969,41.6005,0.37206,40.56675,0.34123,43.95425,0.30501,42.9615,0.34734,41.19,0.30988,39.179,0.3438,42.1815,0.33358,43.504,0.32752,42.3135,0.34018,41.17175,0.35519,71.071,0.34272,37.29006,0.180245
26001,"Roseau","MN",1013,53.68625,0.18585,0.1875,55.16275,0.59343,15.85275,-0.19717,52.606,0.23128,54.57675,0.14611,59.40575,0.11755,54.23525,0.18913,52.437,0.19352,,,54.6815,0.1683,52.317,0.25156,53.03525,0.21777,53.68625,0.18585,86.90225,0.14113,46.33269,0.184055
26002,"Duluth","MN",11651,44.915,0.33536,0.0891148298978806,53.299,0.59272,18.11225,-0.23735,45.99825,0.34665,43.83575,0.32371,49.432,0.28724,45.235,0.3288,45.28925,0.29717,43.2735,0.30118,46.25275,0.31151,44.33525,0.34145,44.61475,0.33839,44.99675,0.33351,75.269,0.31272,44.881,0.187765
26003,"West Cook UT","MN",,,,0.101694911718369,,,,,,,,,,,,,,,,,,,,,47.32475,0.26551,,,,,,0
26004,"International Falls","MN",653,48.973,0.25428,0.174129351973534,54.18725,0.50941,11.19475,-0.12733,49.95625,0.19297,48.0835,0.30502,55.3185,0.25266,49.18725,0.26901,49.083,0.23836,,,50.44125,0.21897,50.00175,0.21915,49.4915,0.23622,49.44375,0.24683,79.586,0.21368,45.01088,0.1538
26101,"Moberly","MO",2374,45.09775,0.31751,0.101372756063938,42.39075,0.72383,23.63325,-0.26259,46.398,0.31096,43.77525,0.32437,46.811,0.30272,46.9165,0.30502,43.96925,0.30781,41.17225,0.25949,46.9705,0.2789,45.141,0.32944,45.123,0.3226,45.09775,0.31751,76.13125,0.32205,40.0305,0.17879
26102,"Marshall","MO",2038,44.7545,0.40986,0.0948379337787628,33.22325,0.79589,23.1105,-0.3353,45.71025,0.42921,43.8215,0.38994,47.02675,0.34883,46.51325,0.39273,44.438,0.347,42.68175,0.45959,46.519,0.36536,45.05625,0.38405,44.89125,0.39689,44.7545,0.40986,74.47275,0.40851,36.66869,0.199555
26103,"Brookfield","MO",1017,48.562,0.36256,0.111922137439251,44.919,0.66088,19.94725,-0.24883,48.58275,0.33803,48.55875,0.38871,51.216,0.3418,50.36825,0.34797,46.90825,0.34125,,,51.66525,0.28417,50.7015,0.37934,49.67725,0.37017,48.562,0.36256,77.8155,0.36146,41.16544,0.17803
