"vouch0","sex_name","match_i","match_ic","match_i7","age","phone","checkid","math","read","match_ic7","readcens1","readcens10","mathcens1","mathcens10"
0,0,1,1,1,12,1,1,52,40,1,40,40,52,52
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,0,1,12,1,1,45,52,0,52,52,45,45
0,0,1,1,1,12,1,1,39,48,1,48,48,39,39
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,40,44,1,44,44,40,40
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,45,59,1,59,59,45,45
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,0,0,1,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,0,0,1,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,0,1,47,50,1,50,50,47,47
0,0,1,0,1,12,1,1,40,52,0,52,52,40,40
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,42,43,1,43,43,42,42
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,0,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,47,56,1,56,56,47,47
0,0,0,0,0,12,0,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,0,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,1,1,1,12,1,1,40,50,1,50,50,40,40
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
0,0,0,0,0,12,1,1,0,0,0,32,40,32,35.0000038146973
