"id","dbogota","djamundi","d1993","d1995","d1997","vouch0","sex","age","mom_sch","mom_age","dad_sch","dad_age","stratams","rept6","totscyrs","finish6","finish7","finish8","usngsch","hoursum","working","married","haschild","test_tak","response","svy"
239,1,0,0,1,0,1,0,15,11,35,8,42,0,0,4,1,1,1,1,0,0,0,0,0,1,0
241,1,0,0,1,0,1,1,16,2,43,3,43,0,0,4,1,1,1,1,15,1,0,0,1,1,0
242,1,0,0,1,0,1,0,13,8,38,11,38,0,0,4,1,1,1,1,0,0,0,0,1,1,0
243,1,0,0,1,0,1,1,15,5,40,3,42,0,0,4,1,1,1,1,0,0,0,0,0,1,0
244,1,0,0,1,0,1,0,14,5,52,5,54,0,0,4,1,1,1,1,30,1,0,0,1,1,0
245,1,0,0,1,0,1,1,18,5,53,,,0,0,3,1,1,1,0,40,1,0,0,0,1,0
250,1,0,0,1,0,0,1,14,7,40,7,44,0,0,4,1,1,1,0,0,0,0,0,0,1,0
251,1,0,0,1,0,0,0,17,5,,,,0,0,4,1,1,1,0,0,0,0,0,0,1,0
252,1,0,0,1,0,0,1,15,4,38,3,40,0,0,4,1,1,1,0,0,0,0,0,0,1,0
254,1,0,0,1,0,1,0,14,5,37,7,52,0,1,3,1,1,0,0,0,0,0,1,0,1,0
256,1,0,0,1,0,0,0,17,3,37,5,42,0,0,2,1,0,0,0,0,0,0,0,0,1,0
257,1,0,0,1,0,1,0,15,,40,,39,0,0,4,1,1,0,0,0,0,0,0,0,1,0
258,1,0,0,1,0,0,1,15,5,40,9,49,0,0,4,1,1,1,0,0,0,0,0,0,1,0
261,1,0,0,1,0,0,0,15,11,30,,36,1,0,4,1,1,0,0,0,0,0,0,0,1,0
262,1,0,0,1,0,1,1,14,3,36,2,46,0,0,4,1,1,1,1,0,0,0,0,0,1,0
263,1,0,0,1,0,0,1,16,7,46,5,48,0,0,3,1,1,0,0,8,1,0,0,1,1,0
264,1,0,0,1,0,1,0,14,5,55,3,65,0,0,4,1,1,1,1,0,0,0,0,0,1,0
266,1,0,0,1,0,1,0,14,5,43,9,40,0,0,4,1,1,1,1,0,0,0,0,0,1,0
267,1,0,0,1,0,1,0,15,7,36,9,40,0,0,4,1,1,1,1,0,0,0,0,0,1,0
269,1,0,0,1,0,0,0,14,,37,,35,0,1,4,1,0,0,0,0,0,0,0,0,1,0
273,1,0,0,1,0,1,1,15,2,49,,,0,0,4,1,1,1,1,0,0,0,0,0,1,0
276,1,0,0,1,0,0,1,15,,32,,39,0,0,4,1,1,1,1,0,0,0,0,0,1,0
279,1,0,0,1,0,1,1,14,5,40,5,38,0,0,4,1,1,1,1,0,0,0,0,0,1,0
282,1,0,0,1,0,0,1,15,11,32,11,39,0,0,4,1,1,1,0,0,0,0,0,1,1,0
