"year","school_id","student_id","treated","pair","m_ahim","boy","ole5","educav","educem","zakaibag","lagscore","semrel","semarab","att18","att20","att22","att24","awr18","awr20","awr22","awr24","achv_math","achv_eng","achv_hib"
2000,12,2034,0,1,7,1,0,3,4,0,51.7999992370605,0,1,1,1,1,1,1,1,1,1,0,1,1
2000,12,2035,0,1,2,1,0,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,8,2036,0,15,2,0,0,15,10,1,79,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,8,2037,0,15,7,1,0,6,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,6,2039,0,18,6,1,0,7,3,0,85,0,1,1,1,0,0,1,0,0,0,1,1,0
2000,11,2040,1,17,2,1,0,10,14,0,27,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,8,2042,0,15,5,0,0,8,3,0,68,0,1,1,1,1,1,1,1,1,0,1,0,1
2000,8,2045,0,15,8,0,0,15,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2000,12,2048,0,1,1,1,0,3,4,0,74.3333358764648,0,1,1,1,1,1,1,1,1,1,0,1,1
2000,8,2050,0,15,4,1,0,16,14,0,63.5,0,1,1,1,0,0,1,1,0,0,1,0,1
2000,7,2055,0,12,5,1,0,8,7,1,75,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,6,2073,0,18,6,0,0,7,5,0,63.5,0,1,1,0,0,0,0,0,0,0,0,0,1
2000,11,2074,1,17,2,1,0,12,12,0,60.5,0,1,1,1,0,0,1,0,0,0,0,1,1
2000,12,2075,0,1,1,1,0,8,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,11,2076,1,17,4,1,0,8,3,1,80.8000030517578,0,1,1,1,1,1,1,1,1,1,1,1,1
2000,8,2078,0,15,7,0,0,6,2,0,71.5,0,1,1,1,1,0,1,1,0,0,0,0,1
2000,12,2080,0,1,14,1,0,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,8,2081,0,15,6,0,0,8,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,7,2082,0,12,5,0,0,8,7,0,88.5,0,1,1,1,0,0,1,1,0,0,1,0,1
2000,11,2086,1,17,4,1,0,8,8,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0
2000,6,2087,0,18,12,0,0,4,3,0,82.5,0,1,1,1,1,0,1,1,1,1,1,0,1
2000,24,2136,1,7,7,1,0,13,17,0,65.5555572509766,1,0,1,1,1,1,1,1,1,1,0,1,1
