"date","tothrs","avgwkhrs","avgwkhrs_adj","effhrsvw","effhrstorn","civnipop16","nipop16","nipop16_17","nipop18_21","nipop22_24","nipop25_34","nipop35_44","nipop45_54","nipop55_64","nipop65","gengovhrs","nprofhrs","bushrs","effhrs70","effhrs80","effhrs7080","rgdp","xbus","hrsbusindex","fisherdlp","dlp","ffr"
1988-10-01,215.169,22.1791513065976,22.195992792345,180.961524020169,194.083878776074,185244,186565.542,7268.941,15040.746,11630.917,42851.608,35586.736,24147.468,21228.002,28811.124,32.115,13.178,168.253,202.352077698379,188.769833671971,195.560955685204,6848.6,91.8150024414062,101.916999816895,0.0036539,0.324472928489399,8.47000026702881
1989-01-01,217.161,22.3382957718711,22.3413172320549,182.792342419928,196.19621726269,185777,186951.284,7232.52,14963.902,11569.766,42872.824,35890.988,24316.762,21160.7,28943.822,32.349,13.39,169.837,204.310448706475,190.657391719521,197.483920213029,6918.1,91.9690017700195,102.875999450684,0.015225,0.488646964434679,9.44333362579346
1989-04-01,218.4,22.4194860008819,22.4086111955888,183.762218659765,197.383036725381,186181,187337.0335,7196.0995,14887.058,11508.616,42894.04,36195.244,24486.056,21093.4,29076.52,32.91,13.613,170.285,205.563564251221,191.889916799407,198.726740525346,6963.5,92.2760009765625,103.147003173828,0.016865,0.414508347956399,9.72666645050049
1989-07-01,218.647,22.3894098536012,22.3663366687826,183.90081607434,197.674362977125,186598,187800.841,7159.68,14838.432,11489.685,42882.244,36532.696,24627.932,21059.192,29210.98,32.433,13.824,170.89,205.885698536421,192.255680651095,199.070689593791,7013.1,92.609001159668,103.513999938965,0.0087688,0.306653739296593,9.08333301544189
1989-10-01,219.761,22.4480437478365,22.4127293777932,184.771992079948,198.750531181772,187017,188264.649,7123.261,14789.806,11470.754,42870.448,36870.144,24769.808,21024.986,29345.442,33.514,13.892,170.864,207.027144942346,193.388452344477,200.207798643444,7030.9,92.7770004272461,103.498001098633,0.011565,0.299582736261755,8.6133337020874
1990-01-01,219.913,22.4083643655294,22.3607658336195,184.837613728401,198.957627064768,188516,188728.4625,7086.8415,14741.18,11451.823,42858.656,37207.592,24911.686,20990.78,29479.904,32.951,14.419,171.038,207.265391174911,193.679079173879,200.472235174427,7112.1,93.8109970092773,103.603996276855,0.017685,0.516376243309338,8.25
1990-04-01,218.723,22.2324703776827,22.1725929470023,184.130184749673,198.188968597639,188913,189192.27,7050.422,14692.554,11432.892,42846.86,37545.044,25053.562,20956.572,29614.364,32.631,14.568,170.02,206.24089781136,192.79018563492,199.51554172317,7130.3,94.4869995117188,102.986999511719,0.016138,0.502831631795971,8.24333381652832
1990-07-01,218.714,22.1648539600768,22.089246979454,184.414085348774,198.488116576858,189342,189761.614,7000.522,14649.988,11444.518,42843.056,37923.22,25205.048,20942.82,29752.442,33.705,14.784,168.716,206.331779423767,192.943875979403,199.637827701614,7130.8,95.0070037841797,102.196998596191,0.01214,0.382870360567921,8.15999984741211
1990-10-01,218.124,22.0389398138883,21.9476896297187,184.206080272383,198.258550697485,189872,190330.948,6950.622,14607.422,11456.144,42839.248,38301.392,25356.532,20929.068,29890.52,33.436,15.026,168.168,205.876145148412,192.586190486917,199.231167817691,7076.9,94.2239990234375,101.86499786377,0.012333,0.324383305619591,7.74333333969116
1991-01-01,216.471,21.8066927299621,21.6998843150407,183.096226888426,197.05907752209,190271,190900.2845,6900.7215,14564.857,11467.77,42835.44,38679.568,25508.016,20915.314,30028.598,33.391,15.273,166.388,204.41739562742,191.28886064215,197.85312813481,7040.8,94.4219970703125,100.787002563477,0.0048056,0.511948518974833,6.42666673660278
1991-04-01,215.476,21.6419139851688,21.5196315966885,182.509457951829,196.423239825142,190650,191469.6285,6850.8215,14522.291,11479.396,42831.636,39057.744,25659.502,20901.562,30166.676,33.281,15.433,165.371,203.579225526687,190.570439165626,197.074832346179,7086.5,95.7600021362305,100.170997619629,0.014116,0.279020365727689,5.86333322525024
1991-07-01,215.642,21.5918250127578,21.4618901619774,182.904193621435,196.844263674261,191116,192061.65,6847.08,14506.986,11462.802,42758.432,39208.916,26087.464,20889.8,30300.17,33.442,15.496,165.228,203.837120390226,190.876439815923,197.356780103095,7120.7,96.370002746582,100.083999633789,0.016678,0.306966778689002,5.64333343505859
