"date","oil_supply_surprise","oil_supply_news_shock"
2007-08-01,0,-0.587526570594446
2007-09-01,1.16426580304674,1.01003482932228
2007-10-01,0,0.0895645916598518
2007-11-01,0,0.810275759139321
2007-12-01,-0.85156298000507,-0.403544816084806
2008-01-01,0,0.353896247902349
2008-02-01,-2.52004712783432,0.0685173547107531
2008-03-01,4.22379428670906,1.10709429966915
2008-04-01,0,0.170191046074971
2008-05-01,0,1.26302808817766
2008-06-01,0,1.19017318266663
2008-07-01,0,0.532629731491756
2008-08-01,0,-0.403644266885545
2008-09-01,-0.774759837271628,0.398269589837509
2008-10-01,-5.29108210516226,-3.20940926878035
2008-11-01,0,-1.5202493839036
2008-12-01,-2.17635107209538,-0.330777290160922
2009-01-01,0,1.85822130585332
2009-02-01,0,0.218956834680733
2009-03-01,1.8974745602177,1.4050379643005
2009-04-01,0,-0.622850317310098
2009-05-01,2.92023668365205,1.16446980987048
2009-06-01,0,1.27943869053425
2009-07-01,0,-0.852732635715151
2009-08-01,0,1.30049346175039
2009-09-01,0.734317528749269,-0.0398236308474218
2009-10-01,0,0.865535508720492
2009-11-01,0,-0.0265513740438514
2009-12-01,1.25991492092673,-0.762720211218645
2010-01-01,0,-0.0856144258075388
2010-02-01,0,-0.430303721407899
2010-03-01,1.53231404424915,-0.241638552233552
2010-04-01,0,-0.334595683852611
2010-05-01,0,-1.39050968048379
2010-06-01,0,0.55893728334569
2010-07-01,0,0.208622760776428
2010-08-01,0,-0.142715552235557
2010-09-01,0,-0.197185711237626
2010-10-01,-0.478400831334064,0.822344003390554
2010-11-01,0,0.0718393069979663
2010-12-01,1.06787557460594,0.140526969591234
2011-01-01,0,0.228616471883087
2011-02-01,0,0.299081434390898
2011-03-01,0,0.943779101879245
2011-04-01,0,0.879524383395472
2011-05-01,0,-0.71902999711213
2011-06-01,1.51466515787362,-0.611529434410649
2011-07-01,0,-0.192896293283568
2011-08-01,0,-0.962767731002297
2011-09-01,0,0.456814291436494
2011-10-01,0,-0.30314949019601
2011-11-01,0,0.755402463002809
2011-12-01,-4.93196203155601,-0.549100872851831
2012-01-01,0,0.127098732259944
2012-02-01,0,8.01267034735827e-05
2012-03-01,0,0.780583070735254
2012-04-01,0,-0.0834127279669479
2012-05-01,0,-0.512933213414369
2012-06-01,1.46878370093934,-0.644624286375499
2012-07-01,0,0.721469080841746
2012-08-01,0,0.852386842752409
2012-09-01,0,0.299020636491622
2012-10-01,0,-0.189216016201964
2012-11-01,0,-0.350002277452578
2012-12-01,0.972876149903244,-0.179421722393056
2013-01-01,0,0.410548265002932
2013-02-01,0,0.175207652184693
2013-03-01,0,-0.369184796326314
2013-04-01,0,-0.189111228020487
2013-05-01,-1.37977618581545,0.0105874366813895
2013-06-01,0,0.0487896072930303
2013-07-01,0,0.847706634865423
2013-08-01,0,-0.0655397185360415
2013-09-01,0,-0.0779113874509923
2013-10-01,0,0.0527779737648968
2013-11-01,0,-0.104684546158706
2013-12-01,0.984938186022611,0.363284536996984
2014-01-01,0,0.111756521255313
2014-02-01,0,0.0658124982430273
2014-03-01,0,-0.185727746414321
2014-04-01,0,0.0718304379522068
2014-05-01,0,-0.0505518992205161
2014-06-01,0.407599583969492,0.245872657197638
2014-07-01,0,-0.320844701410541
2014-08-01,0,-0.105680175989577
2014-09-01,0,-0.210238761686997
2014-10-01,0,-0.519477676936452
2014-11-01,-9.80638481430324,-0.967337889857769
2014-12-01,0,-1.39070955169598
2015-01-01,0,-1.37379115176364
2015-02-01,0,0.983872329675618
2015-03-01,0,-0.228855499223383
2015-04-01,0,0.755030851255829
2015-05-01,0,0.654823674052507
2015-06-01,2.38268259864832,-0.252458543625177
2015-07-01,0,-1.1824913219905
2015-08-01,0,-0.483199368240177
2015-09-01,0,0.312388467476451
2015-10-01,0,0.172284849844066
2015-11-01,0,-0.519710426417829
2015-12-01,-1.98521939419114,-0.803818543336725
2016-01-01,0,-1.36488011234287
2016-02-01,0,-0.205973915694756
2016-03-01,0,1.2846518900306
2016-04-01,0,-0.24023257490403
2016-05-01,0,0.796175246371433
2016-06-01,0.561501010593956,-0.264207932810111
2016-07-01,0,-0.468327473204546
2016-08-01,0,0.108964614616577
2016-09-01,1.45068201632914,0.168582891808956
2016-10-01,0,0.714292031704162
2016-11-01,7.88528437885002,-0.699359765790191
2016-12-01,2.01777899908104,0.700972142716795
2017-01-01,0,0.172158152998271
2017-02-01,0,0.262373969259471
2017-03-01,0,-1.34513330141337
2017-04-01,0,0.0309251184792958
2017-05-01,-4.43232378262327,-0.967354798787611
2017-06-01,0,-0.416445217853017
2017-07-01,0,-0.0599019578690365
2017-08-01,0,-0.0159676958529578
